RecordingName,Transcription,Start,End,Emotion,category
Ses01F_impro01_F000,Excuse me.,6.2901,8.2357,NEUTRAL STATE,train
Ses01F_impro01_F001,Yeah.,10.01,11.3925,NEUTRAL STATE,validate
Ses01F_impro01_F002,Is there a problem?,14.8872,18.0175,NEUTRAL STATE,train
Ses01F_impro01_F003,You did.,19.29,20.7875,NEUTRAL STATE,test
Ses01F_impro01_F004,You were standing at the beginning and you directed me.,21.3257,24.74,NEUTRAL STATE,test
Ses01F_impro01_F005,Well what's the problem?  Let me change it.,27.46,31.49,NEUTRAL STATE,train
Ses01F_impro01_F006,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,38.965,43.59,FRUSTRATION,test
Ses01F_impro01_F007,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,46.58,52.19,FRUSTRATION,train
Ses01F_impro01_F008,I'm here to get an ID.,56.16,58.8225,FRUSTRATION,train
Ses01F_impro01_F009,Like what?  Like a birth certificate?,61.87,65.97,FRUSTRATION,validate
Ses01F_impro01_F010,Who the hell has a birth certificate?,66.42,69.34,FRUSTRATION,train
Ses01F_impro01_F011,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",72.45,82.26,FRUSTRATION,validate
Ses01F_impro01_F012,That's out of control.,85.27,88.02,ANGER,train
Ses01F_impro01_F013,How long have you been working here?,93.67,97.0218,FRUSTRATION,train
Ses01F_impro01_F014,"Clearly.  You know, do you have like a supervisor or something?",97.89,102.96,NEUTRAL STATE,validate
Ses01F_impro01_F015,That would - I would appreciate that.  Yeah.,103.97,106.71,FRUSTRATION,train
Ses01F_impro01_M000,Do you have your forms?,7.5712,10.475,FRUSTRATION,validate
Ses01F_impro01_M001,Let me see them.,10.9266,14.6649,FRUSTRATION,train
Ses01F_impro01_M002,Who told you to get in this line?,16.8352,19.7175,FRUSTRATION,train
Ses01F_impro01_M003,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,23.47,28.03,FRUSTRATION,train
Ses01F_impro01_M004,This form is a Z.X.four.,28.395,31.2117,FRUSTRATION,train
Ses01F_impro01_M005,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",31.266,39.3875,FRUSTRATION,train
Ses01F_impro01_M006,No. I need another set of ID to prove this is actually you.,41.23,46.98,FRUSTRATION,test
Ses01F_impro01_M007,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,51.4,57.64,FRUSTRATION,test
Ses01F_impro01_M008,"No.  I need another ID, a separate one.",58.18,62.59,FRUSTRATION,validate
Ses01F_impro01_M009,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",65.51,73,FRUSTRATION,train
Ses01F_impro01_M010,"Yeah.  We keep it on file, but we need an ID to access that file.",81.59,86.03,FRUSTRATION,train
Ses01F_impro01_M011,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,87.15,94.39,ANGER,test
Ses01F_impro01_M012,Actually too long.,95.86,98.68,FRUSTRATION,test
Ses01F_impro01_M013,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,101.84,107.87,ANGER,train
Ses01F_impro02_F000,Did you get the mail? So you saw my letter?,7.2688,16.6,SADNESS,validate
Ses01F_impro02_F001,Yeah.  I know.,19.85,22.78,SADNESS,train
Ses01F_impro02_F002,I don't know.  I put in that. request too. They didn't...,26.5659,32.2895,SADNESS,train
Ses01F_impro02_F003,"I guess, you know, everybody has to make sacrifices.",32.3075,37.96,NEUTRAL STATE,train
Ses01F_impro02_F004,"There's people that have given more though, you know?",47.34,53.11,SADNESS,train
Ses01F_impro02_F005,I know.,58.75,61.31,SADNESS,train
Ses01F_impro02_F006,"There's babies over there, though, that need mothers.",64.255,68.47,NEUTRAL STATE,train
Ses01F_impro02_F007,"I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.",72.39,78.57,SADNESS,train
Ses01F_impro02_F008,"Just, you know, kicking myself.",87.2031,91.09,SADNESS,train
